extension,mime_type
html,text/html
htm,text/html
css,text/css
js,application/javascript
mjs,application/javascript
json,application/json
xml,application/xml
txt,text/plain
md,text/markdown
csv,text/csv
yaml,application/yaml
yml,application/yaml
toml,application/toml
png,image/png
jpg,image/jpeg
jpeg,image/jpeg
gif,image/gif
svg,image/svg+xml
webp,image/webp
avif,image/avif
bmp,image/bmp
tiff,image/tiff
tif,image/tiff
ico,image/x-icon
pdf,application/pdf
zip,application/zip
gz,application/gzip
tar,application/x-tar
7z,application/x-7z-compressed
rar,application/vnd.rar
mp3,audio/mpeg
wav,audio/wav
ogg,audio/ogg
flac,audio/flac
m4a,audio/mp4
mp4,video/mp4
webm,video/webm
mov,video/quicktime
avi,video/x-msvideo
mkv,video/x-matroska
woff,font/woff
woff2,font/woff2
ttf,font/ttf
otf,font/otf
eot,application/vnd.ms-fontobject
doc,application/msword
docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document
xls,application/vnd.ms-excel
xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
ppt,application/vnd.ms-powerpoint
pptx,application/vnd.openxmlformats-officedocument.presentationml.presentation
sh,application/x-sh
bash,application/x-sh
py,text/x-python
rb,text/x-ruby
go,text/x-go
rs,text/rust
java,text/x-java
c,text/x-c
cpp,text/x-c++
h,text/x-c
hpp,text/x-c++
exe,application/x-msdownload
deb,application/vnd.debian.binary-package
rpm,application/x-rpm
appimage,application/vnd.appimage
