oui,vendor
000C29,VMware
001C42,Parallels
080027,Oracle VirtualBox
525400,QEMU
B827EB,Raspberry Pi Foundation
DCA632,Raspberry Pi Trading
E45F01,Raspberry Pi Trading
000569,VMware
0017F2,Apple
F0F61C,Apple
A45E60,Apple
68A86D,Apple
F0DBF8,Apple
F0B479,Apple
68AB1E,Apple
3C0754,Apple
60FACD,Apple
3CD0F8,Apple
F40F24,Apple
000A95,Apple
000393,Apple
001124,Apple
000D93,Apple
AC8945,Cisco
0017C5,Cisco
54752E,Cisco
1C1D67,Cisco
D89E3F,Cisco
00059A,Cisco
00081A,Cisco
00904C,Espressif
3C71BF,Espressif
EC62F0,Espressif
246F28,Espressif
FCF5C4,Espressif
0CB815,Espressif
000DB9,PC Engines
1CC0E1,Cisco Meraki
000874,Dell
F8B156,Dell
B083FE,Dell
D43D7E,Lenovo
00219B,Dell
F08173,Dell
F45BD4,Microsoft
9C2A70,Microsoft
00125A,Microsoft
58FB84,Microsoft
54271E,Microsoft
B05ADA,Samsung
3868DD,Samsung
000DAE,Samsung
00125B,Texas Instruments
